,"""address""","""bathrooms""","""country""","""distance""","""district""","""exterior""","""externalReference""","""floor""","""has360""","""has3DTour""","""hasLift""","""hasPlan""","""hasVideo""","""isParkingSpaceIncludedInPrice""","""latitude""","""longitude""","""municipality""","""neighborhood""","""newDevelopment""","""numPhotos""","""operation""","""price""","""priceByArea""","""propertyCode""","""propertyType""","""province""","""rooms""","""showAddress""","""size""","""status""","""thumbnail""","""title""","""typology""","""url""",":""address""","""newDevelopmentFinished""","""isSmokingAllowed""","""tenantGender""","""tenantNumber""","""parkingSpacePrice""","""hiddenResults""","""itemsPerPage""","""lowerRangePosition""","""numPaginations""","""paginable""","""summary""","""total""","""totalPages"""
0,,2,"""es""","""45671""",,false,"""203-5955138""",,false,false,,false,false,,40.1695989,-3.2730673,"""VillarejodeSalvanes""",,false,12,"""sale""",67283.0,434.0,"""38626728""","""chalet""","""Madrid""",3,false,155.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/03/00/28/570806035.jpg""","""CasaindependienteenCallebailen""","""chalet""","""https://www.idealista.com/inmueble/38626728/""","""Callebailen""",,,,,,,,,,,,,
1,"""Callelosrosales""",3,"""es""","""46436""",,false,"""203-6876767""","""bj""",false,false,,false,false,,40.2311271,-4.193987,"""Mentrida""",,false,9,"""sale""",59600.0,304.0,"""40107715""","""chalet""","""Toledo""",4,false,196.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/33/46/72/647676776.jpg""","""ChaletadosadoenCallelosrosales""","""chalet""","""https://www.idealista.com/inmueble/40107715/""",,,,,,,,,,,,,,
2,"""Cuestadeprim""",1,"""es""","""46362""",,false,"""203-6874807""",,false,false,,false,false,,40.2383101,-4.1976163,"""Mentrida""",,false,4,"""sale""",49300.0,432.0,"""40107545""","""chalet""","""Toledo""",1,false,114.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/56/b7/2d/647676050.jpg""","""ChaletadosadoenCuestadeprim""","""chalet""","""https://www.idealista.com/inmueble/40107545/""",,,,,,,,,,,,,,
3,"""Palmaces",1,"""es""","""41037""","""ElVallejo""",true,"""PLAMACESAZUQUECA""","""3""",false,false,false,false,false,,40.5689722,-3.2611597,"""AzuquecadeHenares""",,false,14,"""sale""",80000.0,964.0,"""84910102""","""flat""","""Guadalajara""",2,true,83.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/8f/17/9c/649662039.jpg""","""PisoenPalmaces",,"""https://www.idealista.com/inmueble/84910102/""",,,,,,,,,,,,,,
4,"""barrioProsperidad""",2,"""es""","""4193""","""Chamartin""",true,"""pros009MG""","""bj""",false,false,true,true,false,,40.4448324,-3.6702414,"""Madrid""","""Prosperidad""",false,70,"""sale""",318000.0,4240.0,"""83891968""","""flat""","""Madrid""",2,false,75.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/17/06/c5/735077589.jpg""","""Piso""",,"""https://www.idealista.com/inmueble/83891968/""",,,,,,,,,,,,,,
5,"""CalleDeFernandezCaro",3,"""es""","""5821""","""CiudadLineal""",false,"""CTVAF.C""",,false,false,,false,false,true,40.4461083,-3.6463386,"""Madrid""","""Concepcion""",false,24,"""sale""",1190000.0,2840.0,"""83304241""","""chalet""","""Madrid""",2,false,419.0,"""renew""","""https://img3.idealista.com/blur/WEB_LISTING/90/id.pro.es.image.master/69/c4/20/615423452.jpg""","""CasaindependienteenCalleDeFernandezCaro","""chalet""","""https://www.idealista.com/inmueble/83304241/""",,,,,,,,,,,,,,
6,"""CalleEncina",3,"""es""","""45009""",,false,"""ElPozoENCINA""",,false,false,,false,false,,40.4888245,-3.1797947,"""PozodeGuadalajara""",,false,19,"""sale""",86580.0,614.0,"""83678807""","""chalet""","""Guadalajara""",4,true,141.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/06/bd/a1/623547274.jpg""","""ChaletadosadoenCalleEncina","""chalet""","""https://www.idealista.com/inmueble/83678807/""",,,,,,,,,,,,,,
7,"""CalleAlondra""",1,"""es""","""4338""","""Carabanchel""",true,"""ALONDRA-MADRID""","""2""",false,false,false,true,false,,40.3891527,-3.7395427,"""Madrid""","""VistaAlegre""",false,9,"""sale""",99000.0,1394.0,"""87961220""","""flat""","""Madrid""",3,false,71.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/b5/a4/735150842.jpg""","""PisoenCalleAlondra""",,"""https://www.idealista.com/inmueble/87961220/""",,,,,,,,,,,,,,
8,"""CalleReal""",1,"""es""","""45620""",,false,"""203-6857907""","""bj""",false,false,false,true,false,,40.0235697,-3.8570254,"""Cobeja""",,false,4,"""sale""",60300.0,641.0,"""84241643""","""flat""","""Toledo""",1,false,94.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f1/86/5c/647666992.jpg""","""PisoenCalleReal""",,"""https://www.idealista.com/inmueble/84241643/""",,,,,,,,,,,,,,
9,"""CalleReal""",1,"""es""","""45582""",,false,"""203-6856096""","""bj""",false,false,false,true,false,,40.0234697,-3.8550254,"""Cobeja""",,false,4,"""sale""",54100.0,644.0,"""84241548""","""flat""","""Toledo""",1,false,84.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/77/d9/07/647666168.jpg""","""PisoenCalleReal""",,"""https://www.idealista.com/inmueble/84241548/""",,,,,,,,,,,,,,
10,"""CalledelaUlmilla""",1,"""es""","""47462""",,false,"""203-7031392""",,false,false,false,false,false,,40.8246582,-3.5377455,"""Torrelaguna""",,false,1,"""sale""",67000.0,905.0,"""86629721""","""flat""","""Madrid""",2,false,74.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/96/bc/e9/698432344.jpg""","""PisoenCalledelaUlmilla""",,"""https://www.idealista.com/inmueble/86629721/""",,,,,,,,,,,,,,
11,"""CalledeSanSecundino""",1,"""es""","""4157""","""CiudadLineal""",false,"""20191114""","""3""",false,false,true,false,false,,40.4252275,-3.6554261,"""Madrid""","""Ventas""",false,35,"""sale""",176000.0,2627.0,"""87714561""","""flat""","""Madrid""",3,false,67.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/96/83/f7/729202848.jpg""","""PisoenCalledeSanSecundino""",,"""https://www.idealista.com/inmueble/87714561/""",,,,,,,,,,,,,,
12,"""CalleReal""",1,"""es""","""45502""",,false,"""203-6856614""","""bj""",false,false,false,false,false,,40.0246697,-3.8570254,"""Cobeja""",,false,4,"""sale""",50200.0,652.0,"""86348289""","""flat""","""Toledo""",1,false,77.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/1d/88/8c/690646149.jpg""","""PisoenCalleReal""",,"""https://www.idealista.com/inmueble/86348289/""",,,,,,,,,,,,,,
13,"""Calleposito""",1,"""es""","""38227""",,false,"""203-6825908""","""bj""",false,false,false,false,false,,40.1839229,-4.0350023,"""CasarrubiosdelMonte""",,false,1,"""sale""",39500.0,859.0,"""38635221""","""flat""","""Toledo""",2,false,46.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4f/f6/1d/570705870.jpg""","""PisoenCalleposito""",,"""https://www.idealista.com/inmueble/38635221/""",,,,,,,,,,,,,,
14,"""CalleReal""",1,"""es""","""45598""",,false,"""203-6855501""","""bj""",false,false,false,false,false,,40.0235697,-3.8561254,"""Cobeja""",,false,3,"""sale""",49300.0,657.0,"""84241534""","""flat""","""Toledo""",1,false,75.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/60/e0/02/647666043.jpg""","""PisoenCalleReal""",,"""https://www.idealista.com/inmueble/84241534/""",,,,,,,,,,,,,,
15,"""CalleReal""",1,"""es""","""45485""",,false,"""203-6855224""","""bj""",false,false,false,true,false,,40.0243891,-3.8550656,"""Cobeja""",,false,4,"""sale""",49400.0,668.0,"""81946457""","""flat""","""Toledo""",1,false,74.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9c/e1/44/647666028.jpg""","""PisoenCalleReal""",,"""https://www.idealista.com/inmueble/81946457/""",,,,,,,,,,,,,,
16,"""CalleReal""",1,"""es""","""45440""",,false,"""203-6856049""","""bj""",false,false,false,true,false,,40.0248697,-3.8553254,"""Cobeja""",,false,4,"""sale""",51500.0,669.0,"""84241546""","""flat""","""Toledo""",1,false,77.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/50/3c/54/647666160.jpg""","""PisoenCalleReal""",,"""https://www.idealista.com/inmueble/84241546/""",,,,,,,,,,,,,,
17,"""CalleReal""",1,"""es""","""45458""",,false,"""203-6855499""","""bj""",false,false,false,true,false,,40.0252697,-3.8578254,"""Cobeja""",,false,4,"""sale""",51000.0,671.0,"""84241532""","""flat""","""Toledo""",1,false,76.0,"""good""","""https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/50/1f/11/647666035.jpg""","""PisoenCalleReal""",,"""https://www.idealista.com/inmueble/84241532/""",,,,,,,,,,,,,,
18,"""CRUZ""",2,"""es""","""157""","""Centro""",false,,"""2""",false,false,false,false,false,,40.4153501,-3.7038148,"""Madrid""","""Huertas-Cortes""",false,0,"""sale""",575000.0,3833.0,"""87353128""","""flat""","""Madrid""",5,false,150.0,"""renew""",,"""PisoenCRUZ""",,"""https://www.idealista.com/inmueble/87353128/""",,,,,,,,,,,,,,
